game_id,min_players,max_players,avg_time,year,avg_rating,geek_rating,age,weight,Category_average,Mechanic_average
1,3,5,240.0,1986,7.62437,7.15383,14,4.3373,0.02182234680652259,0.046578212290502796
2,3,4,30.0,1981,6.61497,5.80921,12,1.963,0.08323537390360791,0.003910614525139665
3,2,4,60.0,1998,7.44113,7.24689,10,2.494,0.021837417488018807,0.0490572625698324
5,2,6,90.0,1964,7.34541,7.1684,12,2.5066,0.04376525906501492,0.019273743016759777
7,2,2,20.0,1978,6.51349,6.15733,8,1.8051,0.018536938240347228,0.011539804469273744
9,2,4,90.0,1998,6.47384,5.96773,13,3.1905,0.024324079934894657,0.03362430167597765
10,2,6,60.0,1998,6.72575,6.51818,10,2.1623,0.030834614341260513,0.03034916201117318
11,2,7,45.0,1997,7.03771,6.93866,13,1.6747,0.0423486150043705,0.034130586592178776
12,2,5,60.0,1999,7.46678,7.31833,12,2.3484,0.012116827922958677,0.014047951582867787
13,3,4,120.0,1995,7.16561,7.00473,10,2.3295,0.027624559182566233,0.015316573556797018
14,3,4,25.0,1998,6.75967,6.17338,10,1.8611,0.011483859300117551,0.02548882681564246
15,2,6,90.0,1977,6.90709,6.47299,12,2.3632,0.02127980227265877,0.03810521415270019
16,3,4,60.0,1996,6.81423,6.02885,12,2.1505,0.04376525906501492,0.021578212290502795
17,2,2,5.0,1999,6.35753,5.78718,10,1.527,0.018898634596256444,0.04340083798882682
18,2,8,120.0,1994,7.08966,6.95654,12,2.4295,0.01385749163577177,0.008744568590937307
19,2,4,45.0,1991,6.29645,5.92014,9,1.8397,0.017391566446634716,0.01672486033519553
20,2,4,90.0,1988,7.48983,6.12479,12,3.1333,0.026855954426259154,0.015607541899441342
22,1,16,240.0,1979,7.17998,6.40506,12,4.5177,0.03619977695391386,0.028340316573556793
23,2,6,360.0,1979,7.07757,5.87042,12,3.1831,0.031286734786147026,0.024319134078212293
24,2,6,240.0,1997,6.6467,5.83412,12,3.4906,0.01678012736878819,0.029958100558659218
26,3,6,300.0,1996,7.10183,6.41305,12,3.8593,0.0229677186002351,0.020670391061452513
27,2,6,340.0,1984,5.62894,5.50409,12,3.1293,0.02649425807034994,0.03952513966480447
28,2,8,180.0,1987,6.49052,6.19155,12,2.6525,0.03504837688760286,0.03197160148975791
30,1,4,90.0,1981,6.768,5.97921,10,1.8125,0.029641016366760104,0.016445530726256985
31,2,5,90.0,1991,5.28489,5.40877,10,1.9231,0.032426078307261054,0.04664804469273743
34,1,8,180.0,1987,6.62066,5.75849,12,2.3404,0.016336618741899508,0.021997206703910616
41,2,4,30.0,1980,6.85216,6.69452,9,1.1594,0.029116556650691745,0.04340083798882682
42,2,4,90.0,1997,7.69841,7.54283,12,3.5121,0.014739126503300481,0.03939944134078212
44,3,6,60.0,1997,6.44463,5.99421,8,1.6257,0.10832805859480965,0.003910614525139665
46,2,6,60.0,1995,7.14299,6.85211,10,2.26,0.009132832986707659,0.02772346368715084
47,3,5,60.0,1999,7.30739,7.01251,12,2.2869,0.02537902763962986,0.02781657355679702
48,2,4,90.0,1999,6.12274,5.69842,12,2.4638,0.017677909395062842,0.021578212290502795
49,2,5,30.0,1998,6.47534,6.25887,10,1.3687,0.10832805859480965,0.04598463687150838
50,2,2,30.0,1999,7.1665,7.07043,10,1.5028,0.06632606926485216,0.043086592178770956
51,1,99,30.0,1999,7.00279,6.73788,10,2.4256,0.01121258703318564,0.024685754189944134
54,2,4,90.0,1999,7.3436,7.17194,10,2.8043,0.01853693824034723,0.02430943513345748
58,2,4,120.0,1986,6.51255,6.01139,12,2.6437,0.029243150375259968,0.0210195530726257
59,3,4,90.0,1999,6.70848,6.09707,10,2.5735,0.02577086535853151,0.013477653631284918
60,3,6,90.0,1999,7.09871,6.65727,14,2.7808,0.014739126503300481,0.02339385474860335
61,2,6,40.0,1998,5.44259,5.47903,10,1.74,0.017632697350574194,0.048463687150837986
66,2,4,90.0,1997,7.04375,6.46607,12,2.9286,0.017677909395062842,0.030237430167597765
70,2,5,60.0,1999,6.88005,6.35323,10,2.2179,0.020887964553757122,0.046042830540037244
71,2,7,360.0,1980,7.50362,7.11792,12,3.6571,0.021679175332308526,0.02800279329608939
72,3,4,60.0,1998,6.71231,6.18775,12,2.5707,0.05927299032462248,0.03358938547486034
73,2,6,60.0,1996,7.0122,6.30826,10,2.0949,0.10832805859480965,0.030540037243947857
74,4,10,30.0,1999,5.83231,5.72222,12,1.1627,0.04964282484853965,0.03289106145251397
75,4,8,5.0,1998,5.48417,5.47611,8,1.2231,0.04577719504475992,0.08051675977653631
76,2,6,120.0,1996,6.3895,5.78547,10,2.5543,0.02016457184193869,0.037918994413407826
77,2,2,240.0,1991,7.65456,6.1527,12,3.6111,0.01193597974500407,0.02484287709497207
84,2,2,150.0,1982,7.54612,6.30987,12,3.4305,0.01193597974500407,0.029958100558659218
85,2,2,60.0,1972,6.93916,5.94045,12,2.1529,0.014060945835970704,0.03156424581005587
88,2,4,60.0,1999,7.13935,6.87367,12,2.8719,0.021837417488018807,0.02768355945730247
90,2,2,20.0,1999,6.21678,5.71369,8,1.4262,0.04864815986978931,0.08051675977653631
91,2,2,480.0,1999,8.04975,7.38053,14,3.8285,0.013382765168640927,0.03198324022346369
93,2,5,120.0,1995,7.76277,7.60649,12,3.0626,0.017135364861199022,0.029198673184357544
94,2,6,90.0,1999,7.21666,6.77548,12,2.5508,0.026313409892395334,0.01522346368715084
95,2,6,30.0,1990,6.40781,5.87605,8,1.3821,0.018830816529523467,0.01026536312849162
96,2,2,60.0,1982,6.15588,5.65778,10,1.8261,0.014678843777315612,0.0441340782122905
97,2,6,240.0,1984,6.27042,5.76954,10,2.525,0.02896584983572957,0.04671787709497207
98,2,5,180.0,1981,6.55753,6.30323,12,3.0402,0.019893299575006778,0.021773743016759776
99,2,4,180.0,1986,6.69521,6.20302,12,2.6444,0.02617777375892938,0.04671787709497207
101,2,6,60.0,1996,6.78432,6.05603,8,1.7,0.059182566235645176,0.021578212290502795
102,3,5,30.0,1999,6.21777,5.77376,10,1.7674,0.10832805859480965,0.048463687150837986
103,2,6,240.0,1980,6.96427,6.50241,12,3.4606,0.04765349489103897,0.02496508379888268
105,2,5,60.0,1997,6.77918,6.54677,8,2.0206,0.05769056876751966,0.04273743016759777
106,2,4,45.0,1998,6.95342,6.49778,10,1.7457,0.057193236278144495,0.04485567970204842
108,2,2,20.0,1998,6.77641,6.1069,8,2.2922,0.015959851704494078,0.00803072625698324
110,2,6,60.0,1987,6.2363,5.87719,8,1.9574,0.021249660909666332,0.014036312849162012
111,3,5,45.0,1999,6.60859,6.06496,12,2.422,0.018808210507279138,0.04134078212290503
112,2,6,45.0,1995,6.81314,6.59725,14,1.9616,0.0426123519305543,0.04716014897579143
115,3,6,60.0,1994,6.79971,6.40547,12,1.9742,0.011483859300117551,0.045349162011173186
116,2,5,30.0,1998,6.53426,6.41129,12,1.2693,0.06334207432860113,0.034375
117,2,4,45.0,1999,6.96181,6.22541,10,2.0671,0.018536938240347228,0.016393156424581005
118,3,5,45.0,1992,7.38531,7.21112,10,2.3077,0.07604665882991228,0.015562649640861933
119,2,4,45.0,1994,6.63695,6.35881,9,1.826,0.03393917472948127,0.02786312849162011
120,2,6,45.0,1990,6.52492,6.27478,12,1.8654,0.025499593091599604,0.022648975791433892
121,2,6,180.0,1979,7.6237,7.12804,12,3.444,0.019908370256502998,0.029978052673583406
122,3,5,45.0,1992,6.45184,6.0668,12,2.0725,0.013111492901709015,0.009008379888268157
124,3,4,90.0,1997,6.95075,6.5932,12,2.7302,0.003164843114205624,0.03177374301675978
125,3,5,30.0,1999,6.5329,6.16668,10,1.5498,0.10832805859480965,0.029259776536312846
126,2,6,90.0,1987,6.26513,5.73285,12,1.6842,0.016457184193869247,0.004958100558659218
128,1,8,20.0,1983,6.61801,6.21442,10,1.4884,0.014648702414323176,0.02786312849162011
130,2,6,240.0,1994,6.9878,6.22378,12,2.9444,0.025409169002622297,0.003794227188081936
132,2,2,60.0,1997,6.42292,6.16636,10,1.9138,0.05048678301232781,0.05612197392923649
134,3,5,45.0,1999,6.00589,5.63289,12,2.0227,0.011483859300117551,0.02786312849162011
135,2,4,60.0,1999,5.95279,5.64628,12,2.2078,0.014317147421406396,0.024208566108007448
137,2,10,20.0,1994,5.83402,5.63868,12,1.3158,0.010873496699520754,0.0736731843575419
141,3,5,60.0,1999,6.38471,5.90734,10,2.2266,0.017293607016909306,0.03165735567970205
142,3,5,90.0,1999,6.45558,5.80773,12,2.9841,0.04376525906501492,0.020833333333333332
146,2,4,60.0,1996,6.14767,5.73746,12,1.9906,0.04376525906501492,0.0053770949720670395
147,2,4,90.0,1974,6.72703,6.02019,13,2.7374,0.02649425807034994,0.03563780260707635
150,2,8,30.0,1995,7.25108,7.01173,6,1.1281,0.012532778732254274,0.010986964618249535
152,2,8,60.0,1995,7.16862,6.43294,11,2.4828,0.05429966543087078,0.009322625698324023
153,2,6,60.0,1998,6.46714,6.01994,10,1.4713,0.10832805859480965,0.06449022346368716
155,3,4,60.0,1993,6.95981,5.94948,12,2.3966,0.06587394881996564,0.01568901303538175
156,2,6,60.0,1985,6.82275,5.86824,10,1.8814,0.018808210507279138,0.01403631284916201
157,2,6,240.0,1990,7.07852,6.32147,10,2.7397,0.020616692286825212,0.00824022346368715
162,2,2,90.0,1979,6.50571,6.10711,12,1.8618,0.02617777375892938,0.034310986964618255
163,2,6,60.0,1984,6.43603,6.18113,12,1.4182,0.017723121439551497,0.005412011173184357
164,2,6,30.0,1996,5.41965,5.44681,12,1.2672,0.05570123881001898,0.013128491620111732
165,1,2,20.0,1977,6.36053,5.81034,10,2.0667,0.017572414624589323,0.004632216014897579
168,2,6,180.0,1982,6.93696,6.39842,12,2.6228,0.020616692286825212,0.005377094972067039
169,2,2,30.0,1993,6.48309,6.00751,8,1.4,0.05674111583325798,0.040537709497206705
170,2,6,30.0,1982,6.07875,5.8819,8,1.3245,0.055203906320643814,0.03493947858472998
172,3,6,30.0,1997,7.22113,7.10796,10,1.2691,0.07604665882991228,0.02062849162011173
173,2,10,120.0,1991,6.98813,6.71416,10,1.9638,0.007595623474093498,0.01000349162011173
175,2,5,20.0,1988,6.49115,6.04822,7,1.1804,0.05223498206588902,0.009008379888268156
176,3,8,15.0,1996,5.85637,5.67222,10,1.2759,0.05583687494348494,0.04127094972067039
182,2,4,30.0,1995,6.35894,5.77362,8,1.4222,0.06673297766525002,0.0479050279329609
185,2,5,30.0,1998,5.41096,5.4495,8,1.1667,0.006646170539831811,0.01026536312849162
189,3,4,90.0,1999,6.93953,6.05462,10,2.7838,0.01831087801790397,0.04319134078212291
192,3,6,45.0,1999,6.35325,5.85713,10,1.3619,0.10832805859480965,0.012430167597765362
193,2,10,30.0,1981,5.72635,5.54793,8,1.1707,0.029116556650691745,0.04340083798882682
194,2,4,45.0,1997,6.28184,5.76688,10,1.5,0.038538746722126774,0.04375
196,3,6,75.0,1986,6.9637,6.44143,12,2.8365,0.010850890677276426,0.00558659217877095
199,2,4,45.0,1994,6.72554,6.43066,10,1.9235,0.020887964553757122,0.059951117318435755
200,2,4,60.0,1996,6.46325,5.96725,10,2.2381,0.024324079934894657,0.03233240223463687
201,2,2,30.0,1992,6.80367,6.38036,10,1.964,0.021837417488018807,0.04925512104283054
202,2,4,120.0,1988,6.37759,5.77268,12,2.3793,0.025499593091599604,0.02011173184357542
204,2,4,60.0,1999,6.89112,6.39575,12,3.0653,0.008861560719775749,0.020373603351955302
214,2,4,60.0,1989,6.24874,5.96107,10,1.6667,0.018536938240347228,0.03919925512104283
215,4,4,60.0,1991,7.58365,7.34434,10,2.3393,0.10832805859480965,0.021033519553072623
216,2,2,30.0,1992,5.8034,5.58753,12,2.0274,0.010308346143412604,0.03362430167597765
217,2,4,30.0,1989,6.47002,6.1464,13,1.308,0.01193597974500407,0.04795158286778398
220,3,5,30.0,1995,7.01369,6.77766,10,1.5055,0.10832805859480965,0.007565176908752328
221,2,5,360.0,1986,7.0258,6.60714,12,2.9461,0.016208517949181662,0.0287243947858473
222,2,6,40.0,1999,6.08352,5.78639,10,1.3898,0.0675920065105344,0.030540037243947857
223,2,6,90.0,1996,6.83492,6.07173,10,1.9756,0.012357958826898151,0.01403631284916201
224,3,6,270.0,1991,7.12224,6.67402,12,2.7766,0.018247581155619856,0.06452513966480447
225,3,5,20.0,1989,6.64792,5.81523,8,2.5957,0.015959851704494078,0.0057262569832402235
228,2,4,20.0,1996,5.62832,5.51677,13,1.5152,0.07274617958224071,0.047171787709497204
229,2,6,60.0,1999,6.217,5.83678,10,2.0168,0.05666576242577689,0.03449720670391061
230,1,6,180.0,1988,7.15213,6.55734,12,2.8345,0.02188262953250746,0.022779329608938546
232,2,4,120.0,1996,6.8629,6.29223,12,3.0394,0.02194291225849233,0.00869413407821229
234,2,2,200.0,1996,7.80624,7.23993,12,3.4415,0.017783404165536365,0.028966480446927373
235,1,4,240.0,1991,6.32023,5.87959,12,3.1899,0.014558278325345873,0.03151187150837989
237,2,2,60.0,1974,7.03804,6.33246,12,3.1224,0.006544443439732346,0.030400372439478587
240,3,5,300.0,1986,7.20854,6.72623,12,3.1689,0.020526268197847905,0.019999999999999997
242,2,7,240.0,1978,6.70046,6.38984,16,2.8639,0.015522801941103776,0.033968475658419796
243,2,2,480.0,1985,7.97291,7.12013,14,4.7233,0.01193597974500407,0.015204418486541393
244,2,8,120.0,1979,6.73314,6.10765,12,2.6503,0.02161135726557555,0.021135940409683425
247,2,5,45.0,1996,6.36105,5.86458,10,1.4815,0.10832805859480965,0.030540037243947857
248,3,5,240.0,1987,6.54361,5.79988,12,3.3231,0.01489736865901076,0.029364525139664803
249,3,6,90.0,1993,6.58846,6.25563,12,1.7883,0.015552943304096211,0.011266294227188082
254,2,7,12000.0,1983,7.54978,6.36729,14,4.4129,0.01860927751152907,0.02860335195530726
256,3,5,45.0,1997,6.35117,6.11056,10,1.6919,0.010730325225306689,0.01541550279329609
257,3,8,45.0,1996,6.16207,5.99285,12,1.6472,0.01220725201193598,0.03449720670391061
258,2,6,30.0,1997,5.6785,5.56944,8,1.3863,0.10832805859480965,0.06449022346368716
259,2,6,60.0,1997,6.52633,5.76045,10,2.0526,0.03141332851071525,0.003910614525139665
264,2,8,120.0,1988,6.21935,5.72833,10,1.7027,0.029912288633692014,0.047171787709497204
265,3,5,45.0,1994,6.3694,6.04689,14,1.9469,0.010308346143412604,0.035439944134078215
267,2,4,90.0,1998,6.78501,5.90155,10,2.6456,0.04376525906501492,0.02685055865921788
270,2,5,120.0,1996,6.37603,5.71433,12,2.525,0.02880007233927118,0.021268954509177977
277,3,5,60.0,1991,5.9329,5.65959,10,1.6951,0.06108147210416855,0.027793296089385473
278,2,2,120.0,1996,6.7272,6.55767,10,2.4521,0.047321939898122195,0.04089385474860335
279,2,4,20.0,1996,6.21796,5.74685,10,1.5875,0.06343249841757843,0.02786312849162011
283,2,6,2480.0,1992,6.85669,5.8985,12,4.521,0.01193597974500407,0.030889199255121045
286,4,8,480.0,1977,7.10962,6.11403,12,3.219,0.016366760104891943,0.02033868715083799
287,2,6,45.0,1967,6.5121,6.03541,8,2.036,0.014648702414323176,0.027793296089385473
290,2,5,20.0,1990,5.74175,5.57151,7,1.1951,0.05705760014467854,0.04224860335195531
293,2,7,30.0,1996,6.36064,5.9124,6,1.2021,0.017090152816710374,0.013128491620111732
296,2,6,90.0,1998,6.73646,6.05329,12,3.0952,0.03445157790035265,0.02657122905027933
299,2,6,60.0,1990,7.24319,6.01807,14,2.8316,0.017072067998914912,0.031459497206703914
300,2,6,30.0,1993,6.10427,5.77814,8,1.5849,0.01808481779546071,0.03034217877094972
310,2,6,180.0,1979,6.16904,5.79597,12,2.2812,0.036591614672815506,0.012185754189944133
312,2,6,10.0,1992,5.91586,5.6576,10,1.5152,0.06334207432860113,0.047171787709497204
321,2,4,45.0,1995,6.31377,5.7941,8,1.2927,0.013292341079663622,0.029748603351955307
327,2,4,10.0,1992,6.79917,6.58762,4,1.0517,0.011238422487179156,0.01047486033519553
329,2,2,1200.0,1985,7.22039,5.97185,12,3.3333,0.01193597974500407,0.030889199255121045
