game_id,min_players,max_players,avg_time,year,avg_rating,geek_rating,num_votes,age,owned,weight,Economic,Negotiation,Political,Card Game,Fantasy,Abstract Strategy,Medieval,Exploration,Travel,Farming,Ancient,Mythology,Bluffing,Science Fiction,Collectible Components,Dice,Fighting,Print & Play,Maze,Miniatures,Racing,American West,City Building,Adventure,Wargame,Civilization,Space Exploration,Renaissance,Humor,Electronic,Horror,Novel-based,Territory Building,Puzzle,Real-time,Industry / Manufacturing,Party Game,Aviation / Flight,World War II,Age of Reason,Movies / TV / Radio theme,World War I,Trains,Animals,Children's Game,Nautical,Pirates,Murder/Mystery,Transportation,Prehistoric,Word Game,Action / Dexterity,Sports,Game System,Deduction,Spies/Secret Agents,Mafia,Zombies,Comic Book / Strip,Napoleonic,Civil War,American Indian Wars,American Revolutionary War,Post-Napoleonic,Book,Arabian,Memory,American Civil War,Modern Warfare,Number,Religious,Educational,Music,Trivia,Video Game Theme,unknown,Environmental,Pike and Shot,Medical,Vietnam War,Math,Mature / Adult,Korean War,Area Majority / Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection,Trick-taking,Set Collection,Tile Placement,Investment,Market,Ownership,Stock Holding,Enclosure,Pattern Building,Pattern Recognition,Card Drafting,Network and Route Building,Point to Point Movement,Trading,Auction: Once Around,Closed Economy Auction,Constrained Bidding,Push Your Luck,Hexagon Grid,Income,Modular Board,Race,Random Production,Variable Setup,Roll / Spin and Move,Variable Player Powers,Action Queue,Bias,Grid Movement,Lose a Turn,Programmed Movement,Scenario / Mission / Campaign Game,Voting,Action Points,Role Playing,Simulation,Variable Phase Order,Area Movement,Commodity Speculation,Cooperative Game,Highest-Lowest Scoring,Score-and-Reset Game,Map Addition,Secret Unit Deployment,Increase Value of Unchosen Resources,Tech Trees / Tech Tracks,Turn Order: Stat-Based,Team-Based Game,Player Judge,Chit-Pull System,Square Grid,Campaign / Battle Card Driven,Minimap Resolution,Stat Check Resolution,Player Elimination,Betting and Bluffing,Action Timer,Pick-up and Deliver,Take That,Auction: English,Auction: Sealed Bid,Auction: Turn Order Until Pass,Rock-Paper-Scissors,Alliances,Crayon Rail System,Multiple Maps,Flicking,Paper-and-Pencil,Line Drawing,Connections,Movement Points,Tug of War,Selection Order Bid,Different Dice Movement,Chaining,Ladder Climbing,Multiple-Lot Auction,Critical Hits and Failures,Line of Sight,Ratio / Combat Results Table,Time Track,Bribery,End Game Bonuses,Events,Measurement Movement,Resource to Move,Mancala,Real-Time,Victory Points as a Resource,Kill Steal,Hidden Movement,Deck Construction,Interrupts,Action Drafting,Turn Order: Role Order,Worker Placement,Track Movement,Hidden Victory Points,Static Capture,Movement Template,Slide/Push,Map Reduction,Auction: Dexterity,Auction: Dutch,Auction: Dutch Priority,Targeted Clues,Command Cards,Grid Coverage,Relative Movement,Action/Event,Card Play Conflict Resolution,Solo / Solitaire Game,I Cut,You Choose,Die Icon Resolution,Turn Order: Random,Elapsed Real Time Ending,Advantage Token,Area-Impulse,Storytelling,Melding and Splaying,Acting,Singing,Hidden Roles,Roles with Asymmetric Information,Traitor Game,Communication Limits,Map Deformation,Stacking and Balancing,Re-rolling and Locking,Delayed Purchase,Turn Order: Progressive,Deck,Bag,and Pool Building,Impulse Movement,Move Through Deck,Matching,Physical Removal,Hot Potato,Catch the Leader,Pieces as Map,Sudden Death Ending,Zone of Control,Follow,Cube Tower,Finale Ending,Loans,Turn Order: Auction,Once-Per-Game Abilities,Auction: Fixed Placement,Order Counters,Induction,Speed Matching,Predictive Bid,Three Dimensional Movement,Single Loser Game,Layering,Drafting,Action Retrieval,Semi-Cooperative Game,Turn Order: Claim Action,Turn Order: Pass Order,Rondel,Different Worker Types,Worker Placement with Dice Workers,Automatic Resource Growth,Prisoner's Dilemma,Narrative Choice / Paragraph,Contracts,Moving Multiple Units,King of the Hill,Force Commitment,Legacy Game,Bingo,Pattern Movement
1,1.4512765747921645,-0.0599297557236055,0.5765628854389045,-2.058163072692355,1.1311220387729677,1.727932519382516,0.24387743524264655,1.3504181753683773,0.151251920034344,2.710839353053777,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.4512765747921645,-0.1973419152907009,-0.1922372555804504,-2.5283229990190197,-0.314138323358029,-0.7664086225080078,-0.43057571508356784,0.5262666964545129,-0.43295329669122795,-0.32571935190202694,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-0.01567914086073207,-0.1973419152907009,-0.08240866400625685,-0.9297792495083598,0.8687587449777595,1.9005637361309884,1.6278595329978958,-0.29788478245935157,1.00572384247566,0.35339140593461227,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.01567914086073207,0.07748240384348987,0.02741992756793671,-4.12686674852968,0.7317067122224801,1.7549606391764687,2.159590474422979,0.5262666964545129,1.856619661753937,0.3695058984934477,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-0.01567914086073207,-0.47216623442489164,-0.2288467861051816,-2.8104189548150185,-0.4594375323426267,-0.1206276298744544,-0.04065984987592227,-1.122036261373216,0.03605805147947795,-0.5276620800798149,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-0.01567914086073207,-0.1973419152907009,0.02741992756793671,-0.9297792495083598,-0.5162084589906294,-0.47234564723433464,-0.3076592364430809,0.938342435911445,-0.2921848721825064,1.2441647446035746,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-0.01567914086073207,0.07748240384348987,-0.08240866400625685,-0.9297792495083598,-0.15552336108650938,0.5487681853381676,0.6552621072977081,-0.29788478245935157,0.45077765162949907,-0.07082900531663676,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-0.01567914086073207,0.21489456341058524,-0.13732295979335363,-1.0238112347736927,0.29114141261111853,1.3287808010527384,4.9499306094645865,0.938342435911445,5.144250502974565,-0.6944342887839535,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.01567914086073207,-0.0599297557236055,-0.08240866400625685,-0.8357472642430268,0.905484451623945,2.033088710604564,2.267841641343752,0.5262666964545129,1.3413357059887552,0.16717949192140152,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.4512765747921645,-0.1973419152907009,0.13724851914213027,-1.2118752053043587,0.47426881534200316,1.4513441418067872,13.627561861677858,-0.29788478245935157,14.592856893536492,0.14300775308314836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
