game_id,names,min_players,max_players,avg_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category,designer,publisher,weight,expands,Category_1,Category_2,Category_3,Category_4,Mechanic_1,Mechanic_2,Mechanic_3,Mechanic_4,Mechanic_5
1,Die Macher,3,5,240.0,1986,7.62437,7.15383,5001.0,14,"Area Majority / Influence, Auction/Bidding, Dice Rolling, Hand Management, Simultaneous Action Selection",6615,"Economic, Negotiation, Political",Karl-Heinz Schmiel,Hans im Glück,4.3373,Nothing,Economic,Negotiation,Political,,Area Majority / Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection
2,Dragonmaster,3,4,30.0,1981,6.61497,5.80921,540.0,12,Trick-taking,1224,"Card Game, Fantasy","G. W. ""Jerry"" D'Arcey",E.S. Lowe,1.963,Nothing,Card Game,Fantasy,,,Trick-taking,,,,
3,Samurai,2,4,60.0,1998,7.44113,7.24689,14155.0,10,"Area Majority / Influence, Hand Management, Set Collection, Tile Placement",14500,"Abstract Strategy, Medieval",Reiner Knizia,Fantasy Flight Games,2.494,Nothing,Abstract Strategy,Medieval,,,Area Majority / Influence,Hand Management,Set Collection,Tile Placement,
5,Acquire,2,6,90.0,1964,7.34541,7.1684,17672.0,12,"Hand Management, Investment, Market, Ownership, Stock Holding, Tile Placement",22352,Economic,Sid Sackson,3M,2.5066,Nothing,Economic,,,,Hand Management,Investment,Market,Ownership,Stock Holding
7,Cathedral,2,2,20.0,1978,6.51349,6.15733,3119.0,8,"Enclosure, Pattern Building, Pattern Recognition, Tile Placement",5552,Abstract Strategy,Robert P. Moore,Brightway Products Ltd,1.8051,Nothing,Abstract Strategy,,,,Enclosure,Pattern Building,Pattern Recognition,Tile Placement,
9,El Caballero,2,4,90.0,1998,6.47384,5.96773,1353.0,13,"Area Majority / Influence, Tile Placement",2523,Exploration,"Wolfgang Kramer, Richard Ulrich",999 Games,3.1905,Nothing,Exploration,,,,Area Majority / Influence,Tile Placement,,,
10,Elfenland,2,6,60.0,1998,6.72575,6.51818,7722.0,10,"Card Drafting, Hand Management, Network and Route Building, Point to Point Movement",9379,"Fantasy, Travel",Alan R. Moon,AMIGO,2.1623,Nothing,Fantasy,Travel,,,Card Drafting,Hand Management,Network and Route Building,Point to Point Movement,
11,Bohnanza,2,7,45.0,1997,7.03771,6.93866,36128.0,13,"Hand Management, Negotiation, Set Collection, Trading",52690,"Card Game, Farming, Negotiation",Uwe Rosenberg,AMIGO,1.6747,Nothing,Card Game,Farming,Negotiation,,Hand Management,Negotiation,Set Collection,Trading,
12,Ra,2,5,60.0,1999,7.46678,7.31833,18388.0,12,"Auction/Bidding, Auction: Once Around, Closed Economy Auction, Constrained Bidding, Push Your Luck, Set Collection",17597,"Ancient, Mythology",Reiner Knizia,alea,2.3484,Nothing,Ancient,Mythology,,,Auction/Bidding,Auction: Once Around,Closed Economy Auction,Constrained Bidding,Push Your Luck
13,Catan,3,4,120.0,1995,7.16561,7.00473,93524.0,10,"Dice Rolling, Hexagon Grid, Income, Modular Board, Network and Route Building, Race, Random Production, Trading, Variable Setup",139881,"Economic, Negotiation",Klaus Teuber,KOSMOS,2.3295,Nothing,Economic,Negotiation,,,Dice Rolling,Hexagon Grid,Income,Modular Board,Network and Route Building
