game_id,names,min_players,max_players,avg_time,year,avg_rating,geek_rating,num_votes,age,owned,designer,publisher,weight,expands,Category_1,Category_2,Category_3,Category_4,Mechanic_1,Mechanic_2,Mechanic_3,Mechanic_4,Mechanic_5
1,Die Macher,3,5,240.0,1986,7.62437,7.15383,5001.0,14,6615,Karl-Heinz Schmiel,Hans im Glück,4.3373,Nothing,Economic,Negotiation,Political,Political,Area Majority / Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection
2,Dragonmaster,3,4,30.0,1981,6.61497,5.80921,540.0,12,1224,"G. W. ""Jerry"" D'Arcey",E.S. Lowe,1.963,Nothing,Card Game,Fantasy,Fantasy,Fantasy,Trick-taking,Trick-taking,Trick-taking,Trick-taking,Trick-taking
3,Samurai,2,4,60.0,1998,7.44113,7.24689,14155.0,10,14500,Reiner Knizia,Fantasy Flight Games,2.494,Nothing,Abstract Strategy,Medieval,Medieval,Medieval,Area Majority / Influence,Hand Management,Set Collection,Tile Placement,Tile Placement
5,Acquire,2,6,90.0,1964,7.34541,7.1684,17672.0,12,22352,Sid Sackson,3M,2.5066,Nothing,Economic,Economic,Economic,Economic,Hand Management,Investment,Market,Ownership,Stock Holding
7,Cathedral,2,2,20.0,1978,6.51349,6.15733,3119.0,8,5552,Robert P. Moore,Brightway Products Ltd,1.8051,Nothing,Abstract Strategy,Abstract Strategy,Abstract Strategy,Abstract Strategy,Enclosure,Pattern Building,Pattern Recognition,Tile Placement,Tile Placement
9,El Caballero,2,4,90.0,1998,6.47384,5.96773,1353.0,13,2523,"Wolfgang Kramer, Richard Ulrich",999 Games,3.1905,Nothing,Exploration,Exploration,Exploration,Exploration,Area Majority / Influence,Tile Placement,Tile Placement,Tile Placement,Tile Placement
10,Elfenland,2,6,60.0,1998,6.72575,6.51818,7722.0,10,9379,Alan R. Moon,AMIGO,2.1623,Nothing,Fantasy,Travel,Travel,Travel,Card Drafting,Hand Management,Network and Route Building,Point to Point Movement,Point to Point Movement
11,Bohnanza,2,7,45.0,1997,7.03771,6.93866,36128.0,13,52690,Uwe Rosenberg,AMIGO,1.6747,Nothing,Card Game,Farming,Negotiation,Negotiation,Hand Management,Negotiation,Set Collection,Trading,Trading
12,Ra,2,5,60.0,1999,7.46678,7.31833,18388.0,12,17597,Reiner Knizia,alea,2.3484,Nothing,Ancient,Mythology,Mythology,Mythology,Auction/Bidding,Auction: Once Around,Closed Economy Auction,Constrained Bidding,Push Your Luck
13,Catan,3,4,120.0,1995,7.16561,7.00473,93524.0,10,139881,Klaus Teuber,KOSMOS,2.3295,Nothing,Economic,Negotiation,Negotiation,Negotiation,Dice Rolling,Hexagon Grid,Income,Modular Board,Network and Route Building
14,Basari,3,4,25.0,1998,6.75967,6.17338,1591.0,10,1799,Reinhard Staupe,F.X. Schmid,1.8611,Nothing,Negotiation,Negotiation,Negotiation,Negotiation,Roll / Spin and Move,Set Collection,Simultaneous Action Selection,Simultaneous Action Selection,Simultaneous Action Selection
15,Cosmic Encounter,2,6,90.0,1977,6.90709,6.47299,3810.0,12,4211,"Bill Eberle, Jack Kittredge, Bill Norton, Peter Olotka",Eon,2.3632,Nothing,Bluffing,Negotiation,Science Fiction,Science Fiction,Hand Management,Negotiation,Variable Player Powers,Variable Player Powers,Variable Player Powers
16,MarraCash,3,4,60.0,1996,6.81423,6.02885,922.0,12,1137,Stefan Dorra,KOSMOS,2.1505,Nothing,Economic,Economic,Economic,Economic,Auction/Bidding,Auction/Bidding,Auction/Bidding,Auction/Bidding,Auction/Bidding
